value,entry_index,width,count
26,32,2,166
26,32,4,166
26,33,2,3
26,35,2,20
26,35,4,10
26,42,2,996
26,52,2,414
26,52,4,414
26,54,2,15
26,54,4,15
26,58,2,5
26,58,4,5
26,59,2,25
26,60,2,8
26,60,4,8
26,61,2,26
26,61,4,24
26,62,2,4
26,62,4,1
26,64,2,153
26,64,4,112
26,66,2,1
26,66,4,1
26,68,2,17
26,68,4,14
26,69,2,7
26,69,4,3
26,70,2,9
26,70,4,8
26,71,2,7
26,71,4,6
26,72,2,4
26,72,4,3
26,73,2,4
26,73,4,3
26,74,2,24
26,74,4,16
26,75,2,17
26,75,4,16
26,76,2,19
26,76,4,9
26,77,2,13
26,77,4,12
26,78,2,10
26,78,4,8
26,79,2,4
26,79,4,3
26,80,2,7
26,80,4,6
26,81,2,27
26,81,4,24
26,82,2,16
26,82,4,3
26,83,2,10
26,83,4,8
26,84,2,35
26,84,4,28
26,85,2,8
26,85,4,3
26,86,2,10
26,86,4,8
26,87,2,23
26,87,4,15
26,88,2,26
26,88,4,23
26,89,2,6
26,89,4,3
26,90,2,78
26,90,4,71
26,91,2,5
26,91,4,3
26,92,2,6
26,92,4,4
26,93,2,7
26,93,4,3
26,94,2,12
26,94,4,11
26,95,2,9
26,95,4,2
26,96,2,2
26,96,4,1
26,97,2,9
26,97,4,6
26,98,2,4
26,98,4,3
26,99,2,7
26,99,4,6
26,100,2,5
26,100,4,4
26,101,2,4
26,101,4,3
26,102,2,8
26,102,4,5
26,103,2,9
26,103,4,8
26,104,2,27
26,104,4,26
26,105,2,6
26,105,4,3
26,106,2,33
26,106,4,29
26,107,2,4
26,107,4,3
26,108,2,2
26,108,4,1
26,109,2,14
26,109,4,5
26,110,2,4
26,110,4,3
26,111,2,3
26,111,4,2
26,112,2,2
26,112,4,1
26,113,2,5
26,113,4,4
26,114,2,4
26,114,4,3
26,115,2,2
26,115,4,1
26,116,2,17
26,116,4,16
26,117,2,4
26,117,4,3
26,118,2,6
26,118,4,5
26,119,2,5
26,119,4,3
26,120,2,8
26,120,4,4
26,121,2,7
26,121,4,6
26,122,2,6
26,122,4,5
26,123,2,2
26,123,4,1
26,124,2,4
26,124,4,3
26,125,2,10
26,125,4,3
26,126,2,15
26,126,4,14
26,127,2,8
26,127,4,4
26,128,2,2
26,128,4,1
26,129,2,4
26,129,4,3
26,130,2,2
26,130,4,1
26,131,2,2
26,131,4,1
26,132,2,2
26,132,4,1
26,133,2,2
26,133,4,1
26,134,2,4
26,134,4,3
26,135,2,2
26,135,4,1
26,136,2,4
26,136,4,3
26,137,2,3
26,137,4,2
26,138,2,10
26,138,4,7
26,139,2,3
26,139,4,2
26,140,2,4
26,140,4,3
26,141,2,4
26,141,4,3
26,142,2,9
26,142,4,6
26,143,2,4
26,143,4,3
26,144,2,4
26,144,4,3
26,145,2,15
26,145,4,14
